property_id,district,property_type,total_price,condo_fee,area,bedroom_qnt,bathroom_qnt,parking_spaces_qnt,sq_m_price
2758723818,tucuruvi,2,356234.0,100.0,43.0,2.0,1.0,0.0,8285
2783008508,tucuruvi,1,400000.0,0.0,40.0,2.0,1.0,0.0,10000
2780543954,tucuruvi,2,370000.0,902.0,61.0,2.0,2.0,1.0,6066
2783003837,tucuruvi,1,320000.0,110.0,46.0,2.0,1.0,1.0,6957
2783004310,tucuruvi,2,380000.0,480.0,41.0,2.0,1.0,1.0,9268
2783006441,tucuruvi,1,370000.0,0.0,49.0,2.0,1.0,0.0,7551
2783007625,tucuruvi,2,245000.0,271.0,27.0,1.0,1.0,0.0,9074
2783008231,tucuruvi,1,325000.0,150.0,42.0,2.0,1.0,1.0,7738
2773913217,tucuruvi,1,350000.0,150.0,64.0,2.0,1.0,0.0,5469
2747160451,tucuruvi,2,2388483.0,0.0,155.0,3.0,4.0,2.0,15410
2562625830,tucuruvi,1,950000.0,0.0,131.0,3.0,4.0,2.0,7252
2760916447,tucuruvi,2,389000.0,400.0,43.0,2.0,1.0,0.0,9047
2758718933,tucuruvi,2,319190.0,200.0,37.0,2.0,1.0,0.0,8627
2660224260,tucuruvi,1,959000.0,0.0,200.0,3.0,5.0,6.0,4795
2783010619,tucuruvi,2,325000.0,250.0,30.0,1.0,1.0,0.0,10833
2783004457,tucuruvi,1,300000.0,0.0,42.0,2.0,1.0,1.0,7143
2758723818,tucuruvi,2,356234.0,100.0,43.0,2.0,1.0,0.0,8285
2783008508,tucuruvi,1,400000.0,0.0,40.0,2.0,1.0,0.0,10000
2780543954,tucuruvi,2,370000.0,902.0,61.0,2.0,2.0,1.0,6066
2783003837,tucuruvi,1,320000.0,110.0,46.0,2.0,1.0,1.0,6957
2783004310,tucuruvi,2,380000.0,480.0,41.0,2.0,1.0,1.0,9268
2783006441,tucuruvi,1,370000.0,0.0,49.0,2.0,1.0,0.0,7551
2783007625,tucuruvi,2,245000.0,271.0,27.0,1.0,1.0,0.0,9074
2783009258,tucuruvi,1,260000.0,200.0,48.0,1.0,1.0,0.0,5417
2778809242,tucuruvi,2,270000.0,0.0,80.0,2.0,2.0,0.0,3375
2743811125,tucuruvi,2,380000.0,700.0,52.0,2.0,1.0,1.0,7308
2715855822,tucuruvi,1,500000.0,0.0,150.0,2.0,3.0,2.0,3333
2783010203,tucuruvi,1,380000.0,0.0,45.0,2.0,1.0,1.0,8444
2758847932,tucuruvi,2,275000.0,480.0,35.0,2.0,1.0,0.0,7857
2712684797,tucuruvi,2,375000.0,500.0,62.0,2.0,2.0,1.0,6048
2771156015,tucuruvi,2,420000.0,651.0,70.0,2.0,2.0,1.0,6000
2779338050,tucuruvi,1,649000.0,0.0,224.0,3.0,2.0,1.0,2897
2783009730,tucuruvi,2,650000.0,650.0,43.0,1.0,1.0,0.0,15116
2755354414,tucuruvi,2,430000.0,200.0,45.0,2.0,1.0,1.0,9556
2783010364,tucuruvi,1,320000.0,110.0,46.0,2.0,1.0,1.0,6957
2739655768,tucuruvi,1,530000.0,0.0,156.0,2.5,3.5,1.0,3397
2783006263,tucuruvi,1,490000.0,0.0,100.0,2.0,3.0,2.0,4900
2443348615,tucuruvi,1,920000.0,0.0,290.0,5.0,5.0,6.0,3172
2562625830,tucuruvi,1,950000.0,0.0,131.0,3.0,4.0,2.0,7252
2724040839,tucuruvi,1,480000.0,0.0,85.0,2.0,3.0,1.0,5647
2783009349,tucuruvi,1,285000.0,1.0,50.0,2.0,1.0,1.0,5700
2783009315,tucuruvi,1,340000.0,100.0,40.0,2.0,1.0,0.0,8500
2783011834,tucuruvi,1,205000.0,0.0,25.0,1.0,1.0,0.0,8200
2783011321,tucuruvi,1,370000.0,0.0,65.0,2.0,1.0,0.0,5692
2756358241,tucuruvi,2,405000.0,1000.0,55.0,2.0,1.0,1.0,7364
2729750022,tucuruvi,2,383000.0,550.0,43.0,2.0,1.0,1.0,8907
2752845898,tucuruvi,1,1380000.0,1.0,192.5,3.0,4.0,4.0,7169
2754863095,tucuruvi,2,470000.0,1.0,54.0,2.0,1.0,1.0,8704
2649113324,tucuruvi,2,362000.0,0.0,50.0,2.0,2.0,1.0,7240
2783010019,tucuruvi,1,229000.0,1.0,42.0,1.0,1.0,0.0,5452
2783003588,tucuruvi,1,285000.0,1.0,50.0,2.0,1.0,1.0,5700
2780794267,tucuruvi,1,660000.0,0.0,120.0,2.0,2.0,2.0,5500
2783010849,tucuruvi,1,320000.0,110.0,46.0,2.0,1.0,1.0,6957
2622121015,tucuruvi,2,450000.0,665.0,97.0,2.0,2.0,1.0,4639
2783003988,tucuruvi,2,230000.0,99.0,38.0,1.0,1.0,0.0,6053
2783003409,tucuruvi,2,199000.0,100.0,25.0,1.0,1.0,0.0,7960
2783008253,tucuruvi,1,340000.0,100.0,40.0,2.0,1.0,0.0,8500
2770950223,tucuruvi,2,780000.0,528.0,70.0,2.0,2.0,1.0,11143
2758037123,tucuruvi,1,430000.0,100.0,57.0,2.0,2.0,1.0,7544
2783004910,tucuruvi,2,340000.0,100.0,52.0,1.0,1.0,0.0,6538
2739496888,tucuruvi,2,439002.0,100.0,46.0,2.0,1.0,1.0,9544
2752102913,tucuruvi,1,430000.0,0.0,75.0,2.0,2.0,1.0,5733
